timestamp,open,high,low,close,volume,barcount,RSI,signal,position
2025-01-17 16:30:00,596.95,597.3,596.06,596.31,22025,10440,,0,0
2025-01-17 16:35:00,596.35,596.87,595.94,596.11,6750,3055,,0,0
2025-01-17 16:40:00,596.12,596.67,595.61,596.12,5571,2380,,0,0
2025-01-17 16:45:00,596.13,596.99,595.9,596.94,5516,2696,,0,0
2025-01-17 16:50:00,596.92,597.25,596.36,596.54,4648,2262,,0,0
2025-01-17 16:55:00,596.54,596.93,596.03,596.29,4266,1931,,0,0
2025-01-17 17:00:00,596.32,597.16,596.27,597.06,3371,1808,,0,0
2025-01-17 17:05:00,597.07,597.54,596.71,596.76,5724,2836,,0,0
2025-01-17 17:10:00,596.76,597.33,596.63,597.16,3916,2013,,0,0
2025-01-17 17:15:00,597.11,597.34,597.01,597.18,2029,1092,,0,0
2025-01-17 17:20:00,597.19,597.27,596.2,596.68,3547,1866,,0,0
2025-01-17 17:25:00,596.67,597.0,596.05,596.97,2382,1256,,0,0
2025-01-17 17:30:00,596.99,597.39,596.78,597.21,2496,1324,,0,0
2025-01-17 17:35:00,597.21,597.6,597.1,597.54,3125,1727,63.57615894039763,0,0
2025-01-17 17:40:00,597.56,597.72,597.27,597.41,3912,2125,61.80257510729646,0,0
2025-01-17 17:45:00,597.43,597.65,597.21,597.65,3671,1564,66.38297872340371,0,0
2025-01-17 17:50:00,597.63,597.93,597.53,597.89,2914,1540,67.95131845841743,0,0
2025-01-17 17:55:00,597.89,598.18,597.74,598.16,4437,2040,63.92694063926844,0,0
2025-01-17 18:00:00,598.14,598.18,597.71,597.95,3273,1463,66.82577565632624,0,0
2025-01-17 18:05:00,597.95,598.33,597.81,598.13,2682,1106,72.33009708738024,0,0
2025-01-17 18:10:00,598.14,598.29,597.93,598.19,2631,1375,66.56891495601404,0,0
2025-01-17 18:15:00,598.2,598.41,598.07,598.23,2273,1156,73.33333333333478,0,0
2025-01-17 18:20:00,598.24,598.75,598.2,598.74,2045,1094,74.23312883435736,0,0
2025-01-17 18:25:00,598.73,599.1,598.68,598.77,5212,2376,74.31192660550605,0,0
2025-01-17 18:30:00,598.77,598.94,598.1,598.28,3466,1660,74.53987730061476,0,0
